Pris;Kommune;Dato
32648;Dragør;2009-03-01
32096;Dragør;2009-04-01
31179;Dragør;2009-05-01
31763;Dragør;2009-06-01
31864;Dragør;2009-07-01
31648;Dragør;2009-08-01
30782;Dragør;2009-09-01
31175;Dragør;2009-10-01
31051;Dragør;2009-11-01
30564;Dragør;2009-12-01
30077;Dragør;2010-01-01
30455;Dragør;2010-02-01
30247;Dragør;2010-03-01
29687;Dragør;2010-04-01
28497;Dragør;2010-05-01
13118;Dragør;2010-06-01
27691;Dragør;2010-07-01
28657;Dragør;2010-08-01
28448;Dragør;2010-09-01
28562;Dragør;2010-10-01
29161;Dragør;2010-11-01
28709;Dragør;2010-12-01
25843;Dragør;2011-01-01
26153;Dragør;2011-02-01
25911;Dragør;2011-03-01
26134;Dragør;2011-04-01
26822;Dragør;2011-05-01
25860;Dragør;2011-06-01
25798;Dragør;2011-07-01
26743;Dragør;2011-08-01
27232;Dragør;2011-09-01
25235;Dragør;2011-10-01
24492;Dragør;2011-11-01
25529;Dragør;2011-12-01
25071;Dragør;2012-01-01
24768;Dragør;2012-02-01
22484;Dragør;2012-03-01
22322;Dragør;2012-04-01
22886;Dragør;2012-05-01
24831;Dragør;2012-06-01
25156;Dragør;2012-07-01
25389;Dragør;2012-08-01
25004;Dragør;2012-09-01
23917;Dragør;2012-10-01
24798;Dragør;2012-11-01
26193;Dragør;2012-12-01
25095;Dragør;2013-01-01
24990;Dragør;2013-02-01
24806;Dragør;2013-03-01
24815;Dragør;2013-04-01
26061;Dragør;2013-05-01
25058;Dragør;2013-06-01
23725;Dragør;2013-07-01
23905;Dragør;2013-08-01
22896;Dragør;2013-09-01
24667;Dragør;2013-10-01
19176;Dragør;2013-11-01
23725;Dragør;2013-12-01
23295;Dragør;2014-01-01
25827;Dragør;2014-02-01
26493;Dragør;2014-03-01
26928;Dragør;2014-04-01
26354;Dragør;2014-05-01
26642;Dragør;2014-06-01
24460;Dragør;2014-07-01
25769;Dragør;2014-08-01
29768;Dragør;2014-09-01
32229;Dragør;2014-10-01
32201;Dragør;2014-11-01
32509;Dragør;2014-12-01
31734;Dragør;2015-01-01
32321;Dragør;2015-02-01
29545;Dragør;2015-03-01
29563;Dragør;2015-04-01
32029;Dragør;2015-05-01
37762;Dragør;2015-06-01
33123;Dragør;2015-07-01
31868;Dragør;2015-08-01
31285;Dragør;2015-09-01
42768;Dragør;2015-10-01
36235;Dragør;2015-11-01
38427;Dragør;2015-12-01
32063;Dragør;2016-01-01
32088;Dragør;2016-02-01
30038;Dragør;2016-03-01
28920;Dragør;2016-04-01
28920;Dragør;2016-05-01
30027;Dragør;2016-06-01
30491;Dragør;2016-07-01
30228;Dragør;2016-08-01
29934;Dragør;2016-09-01
29729;Dragør;2016-10-01
33520;Dragør;2016-11-01
34937;Dragør;2016-12-01
34307;Dragør;2017-01-01
36274;Dragør;2017-02-01
36495;Dragør;2017-03-01
36637;Dragør;2017-04-01
34220;Dragør;2017-05-01
32307;Dragør;2017-06-01
33564;Dragør;2017-07-01
32500;Dragør;2017-08-01
34259;Dragør;2017-09-01
34360;Dragør;2017-10-01
34644;Dragør;2017-11-01
